year,title,citations,authors,editorial
"2019","Architecture for Blockchain Applications","138","Dr. Xiwei Xu, Dr. Ingo Weber","SPRINGER"
"2019","Applications of Blockchain Technology in Business","37","Mohsen Attaran, Angappa Gunasekaran","SPRINGER"
"2019","Legal Tech, Smart Contracts and Blockchain","52","Dr. Marcelo Corrales","SPRINGER"
"2019","Blockchain Technology in Internet of Things","14","Liehuang Zhu, Keke Gai","SPRINGER"
"2019","Online Film Production in China Using Blockchain and Smart Contracts","2","Patrice Poujol","SPRINGER"
"2019","Voting Process with Blockchain Technology: Auditable Blockchain Voting System","22","Michał Pawlak, Jakub Guziur","SPRINGER"
"2019","Introduction to Blockchain","0","Elshad Karimov","SPRINGER"
"2019","iOS Blockchain application using Swift","0","Elshad Karimov","SPRINGER"
"2019","Blockchain Consensus","0","","SPRINGER"
"2019","The Framework of the Integration of Carbon Footprint and Blockchain: Using Blockchain as a Carbon Emission Management Tool","15","Kun-Hsing Liu, Shih-Fang Chang","SPRINGER"
"2019","Blockchain Data Management","0","","SPRINGER"
"2019","Smart Blockchain","52","Prof. Meikang Qiu","SPRINGER"
"2019","Business Transformation through Blockchain","135","Horst Treiblmaier, Roman Beck","SPRINGER"
"2019","Business Process Management: Blockchain and Central and Eastern Europe Forum","219","Dr. Claudio Di Ciccio","SPRINGER"
"2019","Blockchain – ICBC 2019","70","Prof. James Joshi, Dr. Surya Nepal, Qi Zhang","SPRINGER"
"2019","Blockchain Economics and Financial Market Innovation","64","Umit Hacioglu","SPRINGER"
"2019","Data Privacy Management, Cryptocurrencies and Blockchain Technology","120","Cristina Pérez-Solà","SPRINGER"
"2019","Business Transformation through Blockchain","107","Horst Treiblmaier, Roman Beck","SPRINGER"
"2019","Blockchain and Clinical Trial","84","Hamid Jahankhani, Stefan Kendzierskyj","SPRINGER"
"2019","Blockchain Patterns","4","Xiwei Xu, Ingo Weber, Mark Staples","SPRINGER"
"2019","Blockchain in the Payments Industry: Developing a Discussion Agenda Based on Pain Points and Opportunities","2","Friedrich Holotiuk, Jürgen Moormann","SPRINGER"
"2019","The rise of “blockchain”: bibliometric analysis of blockchain study","81","Ahmad Firdaus, Mohd Faizal Ab Razak, Ali Feizollah","SPRINGER"
"2019","Blockchain for Open Data – Exploring Conceptual Underpinnings and Practice","4","","SPRINGER"
"2019","Blockchain in IoT: Current Trends, Challenges, and Future Roadmap","34","Pinchen Cui, Ujjwal Guin, Anthony Skjellum","SPRINGER"
"2019","Towards Blockchain Interoperability","43","Stefan Schulte, Marten Sigwart","SPRINGER"
"2019","The Blockchain in IoT","2","Carlos Davila, Jacob Tarnow","SPRINGER"
"2019","Emerging blockchain-based applications and techniques","24","Yinsheng Li","SPRINGER"
"2019","Blockchain Beyond Crypto","1","Elad Elrom","SPRINGER"
"2019","Blockchain Federation for Complex Distributed Applications","4","Zhitao Wan, Minqiang Cai, Xianghua Lin, Jinqing Yang","SPRINGER"
"2019","Blockchain As an Enabling Technology","10","Henri Arslanian, Fabrice Fischer","SPRINGER"
"2019","Internet of Things and Blockchain Integration: Use Cases and Implementation Challenges","4","Kelechi G. Eze, Cajetan M. Akujuobi","SPRINGER"
"2019","Implementing Your Own Blockchain Using Python","1","Wei-Meng Lee","SPRINGER"
"2019","Blockchain Mechanisms as Security-Enabler for Industrial IoT Applications","1","J. Rian Leevinson, V. Vijayaraghavan","SPRINGER"
"2019","Towards Verified Blockchain Architectures: A Case Study on Interactive Architecture Verification","1","Diego Marmsoler","SPRINGER"
"2019","Defining Blockchain in Swift","0","Elshad Karimov","SPRINGER"
"2019","Overview of Blockchain in Azure","0","Stefano Tempesta","SPRINGER"
"2019","Barter to Blockchain","1","Debajani Mohanty","SPRINGER"
"2019","Blockchain and Its Shariah Compliant Structure","6","Aishath Muneeza, Zakariya Mustapha","SPRINGER"
"2019","A High-Performance Hybrid Blockchain System for Traceable IoT Applications","3","Xu Wang, Ping Yu, Guangsheng Yu, Xuan Zha, Wei Ni","SPRINGER"
"2019","Blockchain Architecture Reference","0","Stefano Tempesta","SPRINGER"
"2019","A Study on the Design of Efficient Private Blockchain","8","Ki Ho Kwak, Jun Taek Kong, Sung In Cho","SPRINGER"
"2019","Consume Blockchain API","0","Stefano Tempesta","SPRINGER"
"2019","Blockchain and Initial Coin Offerings: Blockchain’s Implications for Crowdfunding","21","Laurin Arnold, Martin Brennecke","SPRINGER"
"2019","The Drivers Behind Blockchain Adoption: The Rationality of Irrational Choices","10","Tommy Koens, Erik Poll","SPRINGER"
"2019","Analysis of Blockchain technology: pros, cons and SWOT","185","M. Niranjanamurthy, B. N. Nithya, S. Jagannatha","SPRINGER"
"2019","
","13","Ahmet Erdem, Sevgi Özkan Yildirim","SPRINGER"
"2019","Blockchain: business’ next new “It” technology—a comparison of blockchain, relational databases, and Google Sheets","8","Peter J. McAliney, Ban Ang","SPRINGER"
"2019","An Overview on Technical Characteristics of Blockchain Platforms","1","Zahra Moezkarimi, Reza Nourmohammadi","SPRINGER"
"2019","A Systematic Review for Enabling of Develop a Blockchain Technology in Healthcare Application: Taxonomy, Substantially Analysis, Motivations, Challenges, Recommendations and Future Direction","109","H. M. Hussien, S. M. Yasin, S. N. I. Udzir, A. A. Zaidan","SPRINGER"
"2019","Mining Blockchain Processes: Extracting Process Mining Data from Blockchain Applications","18","Christopher Klinkmüller, Alexander Ponomarev","SPRINGER"
"2019","Blockchain","0","Yuan Zhang","SPRINGER"
"2019","Blockchain Principles, Qualities, and Business Applications","11","Mohsen Attaran, Angappa Gunasekaran","SPRINGER"
"2019","How Does it Work? Components of Blockchain","0","Elshad Karimov","SPRINGER"
"2019","Using Smart Contracts via Blockchain Technology for Effective Cost Management in Health Services","1","Nihal Kalayci Oflaz","SPRINGER"
"2019","Blockchain Economic Networks: Economic Network Theory—Systemic Risk and Blockchain Technology","13","Melanie Swan","SPRINGER"
"2019","
         Blockchain und Co. – Was bringt uns die Entwicklung der Technik?
        ","0","Britta Alexandra Mester","SPRINGER"
"2019","Deploy Azure Blockchain Workbench","0","Stefano Tempesta","SPRINGER"
"2019","Correction to: Two-Factor Blockchain for Traceability Cacao Supply Chain","0","Andi Arniaty Arsyad, Sajjad Dadkhah","SPRINGER"
"2019","An Encrypted Database with Enforced Access Control and Blockchain Validation","1","Zhimei Sui, Shangqi Lai, Cong Zuo, Xingliang Yuan","SPRINGER"
"2019","Blockchain Paradigm and Internet of Things","19","Valentin Rakovic, Jovan Karamachoski","SPRINGER"
"2019","Incentive Compatibility on the Blockchain","9","Jonathan Chiu, Thorsten Koeppl","SPRINGER"
"2019","A blockchain-based decentralized efficient investigation framework for IoT digital forensics","56","Jung Hyun Ryu, Pradip Kumar Sharma, Jeong Hoon Jo","SPRINGER"
"2019","BlockChain Based Certificate Verification Platform","14","Axel Curmi, Frankie Inguanez","SPRINGER"
"2019","Blockchain and Its Role in the Internet of Things","15","Mohamed Amine Ferrag, Leandros Maglaras","SPRINGER"
"2019","Decentralized Energy Networks Based on Blockchain: Background, Overview and Concept Discussion","6","Mario Pichler, Marcus Meisel, Andrija Goranovic","SPRINGER"
"2019","Blockchain-Based Mobility Management for LTE and Beyond","4","Han Lee, Maode Ma","SPRINGER"
"2019","Blockchain Entrepreneurship and the Struggle for Trust Among the Unbanked","0","Guillermo Jesús Larios-Hernández","SPRINGER"
"2019","Hyperledger Fabric Blockchain as a Service for the IoT: Proof of Concept","3","Saša Pešić, Miloš Radovanović, Mirjana Ivanović","SPRINGER"
"2019","Eine kurze Geschichte der Blockchain","5","Volker Skwarek","SPRINGER"
"2019","Blockchain Meets VANET: An Architecture for Identity and Location Privacy Protection in VANET","41","Hui Li, Lishuang Pei, Dan Liao, Gang Sun, Du Xu","SPRINGER"
"2019","A Blockchain-Based Decentralized System for Proper Handling of Temporary Employment Contracts","17","Andrea Pinna, Simona Ibba","SPRINGER"
"2019","Performance Analytical Comparison of Blockchain-as-a-Service (BaaS) Platforms","16","Md Mehedi Hassan Onik, Mahdi H. Miraz","SPRINGER"
"2019","A Blockchain Review: A Comparative Study Between Public Key Infrastructure and Identity Based Encryption","0","Lujain Alharbi, Dania Aljeaid","SPRINGER"
"2019","Modeling and execution of blockchain-aware business processes","18","Ghareeb Falazi, Michael Hahn","SPRINGER"
"2019","Making IoT Services Accountable: A Solution Based on Blockchain and Physically Unclonable Functions","4","Carmelo Felicetti, Angelo Furfaro","SPRINGER"
"2019","Distributed Secure Storage System Based on Blockchain and TPA","0","Huili Wang, Wenping Ma, Haibin Zheng, Qianhong Wu","SPRINGER"
"2019","Mobile Coupons Using Blockchain Technology","0","Sue-Chen Hsueh, Jia-He Zeng","SPRINGER"
"2019","Blockchain: Analysis of the New Technological Components as Opportunity to Solve the Trust Issues in Supply Chain Management","7","Adnan Imeri, Nazim Agoulmine, Christophe Feltus, Djamel Khadraoui","SPRINGER"
"2019","Why Should I Trust a Blockchain Platform? Designing for Trust in the Digital Car Dossier","4","Liudmila Zavolokina, Noah Zani","SPRINGER"
"2019","Extracting Event Logs for Process Mining from Data Stored on the Blockchain","18","Roman Mühlberger, Stefan Bachhofner","SPRINGER"
"2019","Blockchain Time and Heisenberg Uncertainty Principle","4","Ricardo Pérez-Marco","SPRINGER"
"2019","A Critical Examination of the Application of Blockchain Technology to Intellectual Property Management","23","Kensuke Ito, Marcus O’Dair","SPRINGER"
"2019","Enterprise Blockchain Use Cases","0","Stefano Tempesta","SPRINGER"
"2019","Insurance Under the Blockchain Paradigm","12","Paolo Tasca","SPRINGER"
"2019","Medical Data Management on Blockchain with Privacy","53","Haibo Tian, Jiejie He, Yong Ding","SPRINGER"
"2019","Applying Blockchain to Improve the Integrity of the Software Development Process","8","Murat Yilmaz, Serdar Tasel, Eray Tuzun","SPRINGER"
"2019","Securing e-voting based on blockchain in P2P network","52","Haibo Yi","SPRINGER"
"2019","Privacy Preserved Decentralized Deep Learning: A Blockchain Based Solution for Secure AI-Driven Enterprise","5","Amin Fadaeddini, Babak Majidi","SPRINGER"
"2019","On the Use of the Blockchain Technology in Electronic Voting Systems","3","João Alves, António Pinto","SPRINGER"
"2019","Blockchain Usage for Government-Issued Electronic IDs: A Survey","11","Michael Kuperberg, Sebastian Kemper","SPRINGER"
"2019","Conceptual Approach for an Extension to a Mushroom Farm Distributed Process Control System: IoT and Blockchain","10","Frederico Branco, Fernando Moreira","SPRINGER"
"2019","Blockchain in Supply Chain Management: Australian Manufacturer Case Study","2","Elias Abou Maroun, Jay Daniel, Didar Zowghi","SPRINGER"
"2019","Smart Contract-Based Role Management on the Blockchain","1","Cornelius Ihle, Omar Sanchez","SPRINGER"
"2019","A probative value for authentication use case blockchain","2","Dominique Guégan, Christophe Henot","SPRINGER"
"2019","Towards a Blockchain Based Traceability Process: A Case Study from Pharma Industry","3","Ferdinando Chiacchio, Diego D’Urso","SPRINGER"
"2019","Blockchain and Alternative Sources of Financing","3","Othalia Doe-Bruce","SPRINGER"
"2019","The Convergence of AI and Blockchain","7","Francesco Corea","SPRINGER"
"2019","Blockchain-enabled Flexibility Activation for Distribution Grid Management","0","Gregor Taljan","SPRINGER"
"2019","FakeChain: A Blockchain Architecture to Ensure Trust in Social Media Networks","17","Iago Sestrem Ochoa, Gabriel de Mello","SPRINGER"
"2019","Blockchain-Based Application Security Risks: A Systematic Literature Review","15","Mubashar Iqbal","SPRINGER"
"2019","The Blockchain–Sustainability Nexus: Can This New Technology Enhance Social, Environmental and Economic Sustainability?","4","Semen Son-Turan","SPRINGER"
"2019","Disruptionspotenzial und Implikationen der Blockchain-Technologie am Fallbeispiel der Zeitarbeit – Eine Prozess- und Schwachstellenanalyse","2","Jan Heinrich Beinke, Stefan Tönnissen","SPRINGER"
"2019","Using Blockchain Technology to Improve N-Version Software Dependability","1","Denis V. Gruzenkin, Anton S. Mikhalev","SPRINGER"
"2019","Exploring a Role of Blockchain Smart Contracts in Enterprise Engineering","2","Barbora Hornáčková, Marek Skotnica, Robert Pergl","SPRINGER"
"2019","A Distributed Pollution Monitoring System: The Application of Blockchain to Air Quality Monitoring","4","Cameron Thouati de Tazoult, Raja Chiky","SPRINGER"
"2019","Blockchain Technology for Decentralized Data Storage on P2P Network","1","Akshay Raul, Shwetha Kalyanaraman, Kshitij Yerande","SPRINGER"
"2019","A Study on Application Method for Automation Solution Using Blockchain dApp Platform","2","Seong-Kyu Kim, Hyun-Taek Kwon, Young-Kun Kim","SPRINGER"
"2019","A Systematic Literature Review in Blockchain: Benefits and Implications of the Technology for Business","3","João Pedro Marques Ferreira","SPRINGER"
"2019","Blockchain Network Based Topic Mining Process for Cognitive Manufacturing","40","Kyungyong Chung, Hyun Yoo, Doeun Choe, Hoill Jung","SPRINGER"
"2019","New Approach to Power System Grid Security with a Blockchain-Based Model","1","Roberto Casado-Vara","SPRINGER"
"2019","Revisiting Practical Byzantine Fault Tolerance Through Blockchain Technologies","10","Nicholas Stifter, Aljosha Judmayer","SPRINGER"
"2019","Secure, Transparent and Uniform Mobile Money for Internet-Underserved Areas Using Sporadically-Synchronized Blockchain","4","Sankalp Ghatpande, Hadja Ouattara","SPRINGER"
"2019","Blockchain in the Energy Sector","5","Jens Strüker, Simon Albrecht, Stefan Reichert","SPRINGER"
"2019","Research on Privacy Protection in IoT System Based on Blockchain","8","Shiping Fan, Liang Song, Chunyan Sang","SPRINGER"
"2019","The Blockchain: A New Framework for Robotic Swarm Systems","35","Eduardo Castelló Ferrer","SPRINGER"
"2019","Trusted Artifact-Driven Process Monitoring of Multi-party Business Processes with Blockchain","6","Giovanni Meroni, Pierluigi Plebani","SPRINGER"
"2019","Layered Consensus Mechanism in Consortium Blockchain for Enterprise Services","1","Sheng He, Yishuang Ning, Huan Chen, Chunxiao Xing","SPRINGER"
"2019","Risk Engineering and Blockchain: Anticipating and Mitigating Risks","1","Michael Huth, Claire Vishik, Riccardo Masucci","SPRINGER"
"2019","Blockchain-Enabled Controllable Data Management","1","Liehuang Zhu, Keke Gai, Meng Li","SPRINGER"
"2019","Research on trust mechanism of cooperation innovation with big data processing based on blockchain","20","Qi Liu, Xiao Zou","SPRINGER"
"2019","Blockchain Technology for Luggage Tracking","3","Alberto Rodríguez Ludeiro","SPRINGER"
"2019","Strategic Innovations in Tourism Enterprises Through Blockchain Technology","9","Sotirios Varelas, Panagiotis Georgitseas","SPRINGER"
"2019","Blockchain Interoperable Digital Objects","12","Babu Pillai, Kamanashis Biswas, Vallipuram Muthukkumarasamy","SPRINGER"
"2019","How Blockchain Could Improve Fraud Detection in Power Distribution Grid","13","Roberto Casado-Vara, Javier Prieto","SPRINGER"
"2019","Reshaping the Real Estate Industry Using Blockchain","8","K. ShankarJois Krupa, Maganalli S. Akhil","SPRINGER"
"2019","Towards Blockchain and Semantic Web","10","Juan Cano-Benito, Andrea Cimmino","SPRINGER"
"2019","Could Blockchain Technology Empower Patients, Improve Education, and Boost Research in Radiology Departments? An Open Question for Future Applications","10","Francesco Verde, Arnaldo Stanzione, Valeria Romeo","SPRINGER"
"2019","State-of-the-Art and Future Trends of Blockchain Based on DAG Structure","7","Chong Bai","SPRINGER"
"2019","Blockchain as an Internet of Services Application for an Advanced Manufacturing Environment","3","Benedito Cristiano A. Petroni","SPRINGER"
"2019","Low powered blockchain consensus protocols based on consistent hash","6","Lei Yu, Xiao-fang Zhao, Yan Jin, Heng-yi Cai","SPRINGER"
"2019","Blockchain Technologies in E-commerce: Social Shopping and Loyalty Program Applications","6","Yi Han Lim, Halimin Hashim, Nigel Poo","SPRINGER"
"2019","Survey on Blockchain Incentive Mechanism","4","Jiyue Huang, Kai Lei, Maoyu Du, Hongting Zhao, Huafang Liu, Jin Liu","SPRINGER"
"2019","Using Blockchain Technology for Cross-Organizational Process Mining – Concept and Case Study","1","Stefan Tönnissen, Frank Teuteberg","SPRINGER"
"2019","Towards Blockchain-Based Auditing of Data Exchanges","1","Xiaohu Zhou, Antonio Nehme, Vitor Jesus, Yonghao Wang, Mark Josephs","SPRINGER"
"2019","Is a Blockchain-Based Game a Game for Fun, or Is It a Tool for Speculation? An Empirical Analysis of Player Behavior in Crypokitties","4","Jaehwan Lee, Byungjoon Yoo, Moonkyoung Jang","SPRINGER"
"2019","Blockchain: A Necessary Building Block for Integrated Care Ecosystems?","0","Steven Dhondt","SPRINGER"
"2019","A Knowledge Sharing Framework for Green Supply Chain Management Based on Blockchain and Edge Computing","7","Hua Zhang, Shengqiang Li, Wei Yan","SPRINGER"
"2019","Verantwortliche Stellen innerhalb einer Blockchain","0","Cathrin Hein, Wanja Wellbrock","SPRINGER"
"2019","Digital Food Product Traceability: Using Blockchain in the International Commerce","6","Borja Bordel, Pierre Lebigot, Ramón Alcarria, Tomás Robles","SPRINGER"
"2019","Exploring Topics in Blockchain-Enabled Internet of Things","1","Liehuang Zhu, Keke Gai, Meng Li","SPRINGER"
"2019","The Evolution of Blockchain","0","Mohsen Attaran, Angappa Gunasekaran","SPRINGER"
"2019","Implementing a blockchain from scratch: why, how, and what we learned","47","Fabian Knirsch, Andreas Unterweger","SPRINGER"
"2019","Blockchain Based Data Transmission Control for Tactical Data Link","2","Wei Feng, Yafeng Li, Xuetao Yang, Zheng Yan, Liang Chen","SPRINGER"
"2019","Blockchain","3","Ajey Lele","SPRINGER"
"2019","Application of Blockchain in Islamic Finance Landscape","2","Nafis Alam, Lokesh Gupta, Abdolhossein Zameni","SPRINGER"
"2019","At Your Service: How Can Blockchain Be Used to Address Societal Challenges?","4","Niels Faber, Jan Jonker","SPRINGER"
"2019","Blockchain Applications in Shipping, Transportation, Logistics, and Supply Chain","19","Shuaian Wang, Xiaobo Qu","SPRINGER"
"2019","Blockchain Support for Collaborative Business Processes","40","Claudio Di Ciccio, Alessio Cecconi, Marlon Dumas","SPRINGER"
"2019","A Theoretical Framework to Build Trust and Prevent Fake News in Social Media Using Blockchain","12","Tee Wee Jing, Raja Kumar Murugesan","SPRINGER"
"2019","Blockchain Models for Cyber-Credits of Social Manufacturing","2","Jiewu Leng, Jiajun Liu, Pingyu Jiang","SPRINGER"
"2019","A systematic review of blockchain","195","Min Xu, Xingtong Chen, Gang Kou","SPRINGER"
"2019","Intelligent Health Care Data Management Using Blockchain: Current Limitation and Future Research Agenda","4","Alevtina Dubovitskaya, Petr Novotny","SPRINGER"
"2019","Application of Blockchain Technology in Agricultural Product Traceability System","9","Zhihua Wang, Pingzeng Liu","SPRINGER"
"2019","
         Blockchain-Shops im Web3
        ","0","Sven Venzke-Caprarese","SPRINGER"
"2019","Blockchain Retrieval Model Based on Elastic Bloom Filter","1","Xuan Ma, Li Xu, Lizhen Xu","SPRINGER"
"2019","Implementation of Fingerprint-Based Authentication System Using Blockchain","3","Dipti Pawade, Avani Sakhapara, Melvita Andrade","SPRINGER"
"2019","A Cooperative Evaluation Approach Based on Blockchain Technology for IoT Application","6","Hsing-Chung Chen, Bambang Irawan","SPRINGER"
"2019","Financial Services: The Largest Blockchain Market","2","Mohsen Attaran, Angappa Gunasekaran","SPRINGER"
"2019","A Preliminary Review of Blockchain-Based Solutions in Higher Education","19","Aida Kamišalić, Muhamed Turkanović","SPRINGER"
"2019","Blockchain Technology for the Improvement of SCM and Logistics Services: A Survey","9","Adnan Imeri, Djamel Khadraoui","SPRINGER"
"2019","Technological Model for the Exchange of Goods in the Peruvian Agricultural Business Sector Using the Smart Contracts and Blockchain","1","Christopher Cortez-Zaga","SPRINGER"
"2019","Research on Decentralized Music Sharing Model Based on Consortium Blockchain","0","Wentao Gao, Guiyun Zhang","SPRINGER"
"2019","Prospects of Blockchain-Based Information Systems for the Protection of Intellectual Property","4","Roman Amelin, Vladislav Arkhipov","SPRINGER"
"2019","Privacy-Awareness Fair Contract Signing Protocol Based on Blockchain","3","Dongfeng Wang, Qinghua Li, Fengyin Li, Quanxin Zhang","SPRINGER"
"2019","A Buyer and Seller’s Protocol via Utilization of Smart Contracts Using Blockchain Technology","11","Priyanka Kumar, G. A. Dhanush, D. Srivatsa","SPRINGER"
"2019","Performance Benchmarking and Optimization for Blockchain Systems: A Survey","10","Rui Wang, Kejiang Ye, Cheng-Zhong Xu","SPRINGER"
"2019","Blockchain: A Research Framework for Data Security and Privacy","18","Farhad Daneshgar, Omid Ameri Sianaki","SPRINGER"
"2019","Design of Real-Time Transaction Monitoring System for Blockchain Abnormality Detection","1","Jiwon Bang, Mi-Jung Choi","SPRINGER"
"2019","AI and Blockchain","5","Francesco Corea","SPRINGER"
"2019","Anonymous IoT Data Storage and Transaction Protocol Based on Blockchain and Edge Computing","0","Zhi Qiao, Congcong Zhu, Zhiwei Wang, Nianhua Yang","SPRINGER"
"2019","Effects of the Blockchain Technology on Human Resources and Marketing: An Exploratory Study","19","Dorin C. Coita, Maria Madela Abrudan","SPRINGER"
"2019","Uberisation Business Model Based on Blockchain for Implementation Decentralized Application for Lease/Rent Lodging","3","Saleh Hadi, Alexandrov Dmitry","SPRINGER"
"2019","Blockchain Technology for Security and Privacy in Internet of Things","14","Waleed Ejaz, Alagan Anpalagan","SPRINGER"
"2019","Pharmaceutical Supply Chain Management System with Integration of IoT and Blockchain Technology","11","Jianfeng Shi, Dian Yi, Jian Kuang","SPRINGER"
"2019","Internet-of-Things with Blockchain Technology: State-of-the Art and Potential Challenges","2","Ghanshyam Singh","SPRINGER"
"2019","Blockchain Technology and Trade Finance","1","Tarsem Bhogal, Arun Trivedi","SPRINGER"
"2019","A Blockchain Based System to Ensure Transparency and Reliability in Food Supply Chain","15","Gavina Baralla, Simona Ibba","SPRINGER"
"2019","Supply Chain Virtualization: Facilitating Agent Trust Utilizing Blockchain Technology","3","Kane J. Smith, Gurpreet Dhillon","SPRINGER"
"2019","Pruneable sharding-based blockchain protocol","15","Xiaoqin Feng, Jianfeng Ma, Yinbin Miao","SPRINGER"
"2019","The Blockchain Random Neural Network in Cybersecurity and the Internet of Things","5","Will Serrano","SPRINGER"
"2019","Decentralized Identity Authentication with Trust Distributed in Blockchain Backbone","2","Jiahe Wang, Songjie Wei, Haozhe Liu","SPRINGER"
"2019","New Business Applications for the Blockchain","0","Mohsen Attaran, Angappa Gunasekaran","SPRINGER"
"2019","Research on Two-Dimensional Code Packaging Advertising and Anti-counterfeiting Based on Blockchain","1","Yuezhong Wu, Rongrong Chen, Yanxi Tan","SPRINGER"
"2019","Blockchain Adoption: Technological, Organisational and Environmental Considerations","52","Trevor Clohessy, Thomas Acton, Nichola Rogers","SPRINGER"
"2019","A Comparative Study of Three Blockchain Emerging Technologies: Bitcoin, Ethereum and Hyperledger","2","Dalila Boughaci, Omar Boughaci","SPRINGER"
"2019","Personal Data Broker Instead of Blockchain for Students’ Data Privacy Assurance","8","Daniel Amo, David Fonseca, Marc Alier","SPRINGER"
"2019","BVD - A Blockchain Based Vehicle Database System","2","S. V. Aswathy, K. V. Lakshmy","SPRINGER"
"2019","Insurance Block: An Insurance Data Security Transaction Authentication Scheme Suitable for Blockchain Environment","1","Lijun Xiao, Yan Cheng, Han Deng, Shen Xu, Weidong Xiao","SPRINGER"
"2019","MaRSChain: Framework for a Fair Manuscript Review System Based on Permissioned Blockchain","5","Nitesh Emmadi, Lakshmi Padmaja Maddali","SPRINGER"
"2019","Blockchain Revolution in the Healthcare Industry","5","Sergey Avdoshin, Elena Pesotskaya","SPRINGER"
"2019","A new cluster P2P file sharing system based on IPFS and blockchain technology","25","S. Vimal, S. K. Srivatsa","SPRINGER"
"2019","Secure Peer-to-Peer Communication Based on Blockchain","12","Kahina Khacef, Guy Pujolle","SPRINGER"
"2019","IoT Security Access Authentication Method Based on Blockchain","3","Yang Cheng, Min Lei, Shiyou Chen, Zigang Fang","SPRINGER"
"2019","Blockchain Technology in Healthcare","7","Janya Chanchaichujit, Albert Tan, Fanwen Meng, Sarayoot Eaimkhong","SPRINGER"
"2019","Analysis of blockchain technology in the mobility sector","10","Martin Gösele, Philipp Sandner","SPRINGER"
"2019","Cryptographic Technology Blockchain and Its Applications","11","Andriy Luntovskyy, Dietbert Guetter","SPRINGER"
"2019","An Approach to Develop Software that Uses Blockchain","5","Samantha Almeida, Adriano Albuquerque","SPRINGER"
"2019","Blockchain Application in Space Information Network Security","6","Shaochi Cheng, Yuan Gao, Xiangyang Li, Yanchang Du, Yang Du","SPRINGER"
"2019","Keeping Data Inter-related in a Blockchain","4","Phani Chitti, Ruzanna Chitchyan","SPRINGER"
"2019","Blockchain Projects Ecosystem: A Review of Current Technical and Legal Challenges","3","Jorge Lopes, José Luís Pereira","SPRINGER"
"2019","Blockchain and the GDPR: A Data Protection Authority Point of View","3","Amandine Jambert","SPRINGER"
"2019","Use of Blockchain for Smart T-Shirt Design Ownership","0","Ashley Alexsius D’Souza, Okstynn Rodrigues","SPRINGER"
"2019","Blockchain as a Platform","12","Florian Glaser, Florian Hawlitschek","SPRINGER"
"2019","Digital Media Copyright and Content Protection Using IPFS and Blockchain","6","Kwame Opuni-Boachie Obour Agyekum, Qi Xia, Yansong Liu, Hong Pu","SPRINGER"
"2019","Heilsbringer Blockchain?","0","Volker Skwarek","SPRINGER"
"2019","Blockchain Beyond Cryptocurrencies","8","Pierangelo Rosati, Tilen Čuk","SPRINGER"
"2019","Prioritizing Capabilities of Blockchain Technology in Telecommunication for Promoting Customer Satisfaction","1","Fatemeh Saghafi, Maryam Pakyari","SPRINGER"
