year,title,citations,authors,editorial
"2021","Blockchain Technology and the Banking Industry","2","Pierluigi Martino","SPRINGER"
"2021","Using Blockchain to Promote the Construction of Smart Court","0","Zhanli Sun, Yuhonglin Ran, Zheliang Cai","SPRINGER"
"2021","Blockchain Technology Diffusion and Adoption: Tunisian Context Exploration","0","Ennajeh Leila","SPRINGER"
"2021","Anatomy of Blockchain Implementation in Healthcare","1","Shubhangi V. Urkude, Himanshu Sharma","SPRINGER"
"2021","Towards trustworthy blockchain systems in the era of “Internet of value”: development, challenges, and future trends","5","Hai Jin, Jiang Xiao","SPRINGER"
"2021","Blockchain-technology in the energy industry: blockchain as a driver of the energy revolution? With focus on the situation in Germany","14","Bartek Mika, Alexander Goudz","SPRINGER"
"2021","“Blockchain + Rule of Law” and Modernization of Social Governance","0","Zhenyu Li, Jing Bian, Ping Wu","SPRINGER"
"2021","Utilizing Blockchain Technology to Manage Functional Areas in Healthcare Systems","0","Esha Saha, Pradeep Rathore, Ashna Gigi","SPRINGER"
"2021","Blockchain Technologies for Securing IoT Infrastructure: IoT-Blockchain Architectonics","0","Mobasshir Mahbub","SPRINGER"
"2021","Blockchain Security Framework for Government Private Blockchain Consortium","0","Ahmed Alketbi, Manar Abu Talib, Qassim Nasir","SPRINGER"
"2021","Can Blockchain Technology Enhance Security and Privacy in the Internet of Things?","1","Georgios Spathoulas, Lydia Negka","SPRINGER"
"2021","Examining the Legal Issues Involved in the Application of Blockchain Technology","0","Sadiku Ilegieuno, Okabonye Chukwuani","SPRINGER"
"2021","Blockchain-enabled supply chain: analysis, challenges, and future directions","71","Sohail Jabbar, Huw Lloyd, Mohammad Hammoudeh, Bamidele Adebisi","SPRINGER"
"2021","A Study-Based Review on Blockchain Technology for IoT","6","Tripti Sharma, Sanjeev Kumar Prasad","SPRINGER"
"2021","Unification of Blockchain and Internet of Things (BIoT): requirements, working model, challenges and future directions","82","Bharat Bhushan, Chinmayee Sahoo, Preeti Sinha, Aditya Khamparia","SPRINGER"
"2021","Legal Protection of Blockchain from the Perspective of the Cybersecurity Law: Legislation and Practice of China","2","Xuemei Bai, Ling Zhong","SPRINGER"
"2021","Electronic Health Record Maintenance (EHRM) Using Blockchain Technology","0","V. R. Balaji, J. R. Dinesh Kumar","SPRINGER"
"2021","Security of IoT with Blockchain: Basic Study","0","Anindita Jena","SPRINGER"
"2021","Applications of Blockchain Technologies in Health Services: A General Framework for Policymakers","1","Oğuz Kara, Mehmet Nurullah Kurutkan","SPRINGER"
"2021","Convergence of Blockchain in IoT Applications for Heterogeneous Networks","2","Firdous Kausar, Mohamed Abdul Karim Sadiq","SPRINGER"
"2021","Introduction to Blockchain Systems","0","Mubashir Husain Rehmani","SPRINGER"
"2021","A Study on the Challenges and Countermeasures of Blockchain Industry and Technology Development - Guangdong Province as an Example","1","Li Li, Taoye Wang","SPRINGER"
"2021","A Research on Different Type of Possible Attacks on Blockchain: Susceptibilities of the Utmost Secure Technology","1","Arvind Panwar, Vishal Bhatnagar","SPRINGER"
"2021","Correction to: Unfolding identity of financial institutions in bitcoin blockchain by weekly pattern of network flows","0","Rubaiyat Islam, Yoshi Fujiwara","SPRINGER"
"2021","Blockchain Fundamentals and Working Principles","0","Mubashir Husain Rehmani","SPRINGER"
"2021","Blockchain for decentralization of internet: prospects, trends, and challenges","30","Javad Zarrin, Hao Wen Phang, Lakshmi Babu Saheer, Bahram Zarrin","SPRINGER"
"2021","Blockchain-based trust management in cloud computing systems: a taxonomy, review and future directions","24","Wenjuan Li, Jiyi Wu, Jian Cao, Nan Chen, Qifei Zhang","SPRINGER"
"2021","Blockchain Applications in Microgrid Clusters","1","Chun Sing Lai, Loi Lei Lai, Qi Hong Lai","SPRINGER"
"2021","Blockchain Trading and Exchange","0","Hugo Benedetti, Stephen McKeon","SPRINGER"
"2021","Artificial Intelligence and Blockchain: The Future of Healthcare","0","Richa Chaudhary, N. Siva Rama Lingham","SPRINGER"
"2021","Blockchain Technology: Developers Cultivate Novel Applications for Societal Benefits","0","Sheetal Zalte, Rajanish Kamat","SPRINGER"
"2021","The Intersection of Blockchain and 6G Technologies","0","Tri Nguyen, Lauri Lovén, Juha Partala, Susanna Pirttikangas","SPRINGER"
"2021","Communication Networks and Blockchain","0","Mubashir Husain Rehmani","SPRINGER"
"2021","Correction to: Joint optimisation of drone routing and battery wear for sustainable supply chain development: a mixed-integer programming model based on blockchain-enabled fleet sharing","0","Yang Xia, Wenjia Zeng, Xinjie Xing, Yuanzhu Zhan","SPRINGER"
"2021","Security Model for Internet of Things Based on Blockchain","3","J. T. Kruthik, K. Ramakrishnan, R. Sunitha","SPRINGER"
"2021","The Revolution of Blockchain: State-of-the-Art and Research Challenges","74","Suyel Namasudra, Ganesh Chandra Deka","SPRINGER"
"2021","Blockchain and Regional Workforce Development: Identifying Opportunities and Training Needs","2","Fynnwin Prager, Jose Martinez, Chris Cagle","SPRINGER"
"2021","Blockchain","0","Konstantinos Domdouzis, Peter Lake, Paul Crowther","SPRINGER"
"2021","Perspectives on Auditing and Regulatory Compliance in Blockchain Transactions","1","Taimur Bakhshi, Bogdan Ghita","SPRINGER"
"2021","Public Governance of the Blockchain Revolution and Its Implications for Social Finance: A Comparative Analysis","0","Stefania Paladini, Erez Yerushalmi, Ignazio Castellucci","SPRINGER"
"2021","A survey for the application of blockchain technology in the media","11","Liqun Liu, Weihan Zhang, Cunqi Han","SPRINGER"
"2021","Blockchain Applications in the Public Sector: Investigating Seven Real-Life Blockchain Deployments and Their Benefits","1","Maciej Sobolewski, David Allessie","SPRINGER"
"2021","Blockchain Technology","0","Volker Lang","SPRINGER"
"2021","Advancing Digital Transformation in the Public Sector with Blockchain: A View from the European Union","1","Emanuele Baldacci, Joao Rodrigues Frade","SPRINGER"
"2021","Promises and challenges of Blockchain in education","9","Jae Park","SPRINGER"
"2021","Blockchain Technology: Key Features and Main Applications","1","Pierluigi Martino","SPRINGER"
"2021","New Approach to A Disruptive Business Model with Dynamic Capability Under the Blockchain Technology","0","Arafat Salih Aydiner","SPRINGER"
"2021","Blockchain adoption in education: a systematic literature review","15","Faiza Loukil, Mourad Abed, Khouloud Boukadi","SPRINGER"
"2021","Blockchain 1.0 to Blockchain 4.0—The Evolutionary Transformation of Blockchain Technology","5","Pratyusa Mukherjee, Chittaranjan Pradhan","SPRINGER"
"2021","Blockchain and Banking Business Models","0","Pierluigi Martino","SPRINGER"
"2021","The Blockchain Never Sleeps: How Can Blockchain Technology Transform Sleep Medicine?","2","Seithikurippu R. Pandi-Perumal, Sagar Santaji, Veena V. Desai","SPRINGER"
"2021","Assessing the authenticity of subjective information in the blockchain: a survey and open issues","3","Hang Thanh Bui, Omar Khadeer Hussain, Morteza Saberi, Farookh Hussain","SPRINGER"
"2021","Blockchain with IoT","0","Venkatesh Upadrista","SPRINGER"
"2021","Blockchain- and Deep Learning-Empowered Resource Optimization in Future Cellular Networks, Edge Computing, and IoT: Open Challenges and Current Solutions","0","Upinder Kaur, Shalu","SPRINGER"
"2021","Blockchain-Based Internet-of-Vehicle","1","Alkhansaa A. Abuhashim, Chiu C. Tan","SPRINGER"
"2021","Sustainability, Trust, and Blockchain Applications in Islamic Finance and Circular Economy: Best Practices and Fintech Prospects","2","Ahmet Faruk Aysan, Fouad Bergigui","SPRINGER"
"2021","Applications and Prospects of Blockchain Technology in China's Logistics Industry","0","Zhilun Jiao","SPRINGER"
"2021","Blockchain Technology: A Concise Survey on Its Use Cases and Applications","0","B. Suganya, I. S. Akila","SPRINGER"
"2021","A New Theoretical Framework of Pyramid Markov Processes for Blockchain Selfish Mining","6","Quanlin Li, Yanxia Chang, Xiaole Wu","SPRINGER"
"2021","Correction to: A digital rights management system based on a scalable blockchain","0","Abba Garba, Ashutosh Dhar Dwivedi, Mohsin Kamal","SPRINGER"
"2021","Towards an Aligned Blockchain Standard System: Challenges and Trends","1","Xiaodan Tang","SPRINGER"
"2021","Blockchain as an Economic Optimization Problem: Value, the Firm and the Limits of Decentralization","0","Dimitrios Psarrakis","SPRINGER"
"2021","Blockchain-based solutions for security, privacy, and trust management in vehicular networks: a survey","15","Branka Mikavica, Aleksandra Kostić-Ljubisavljević","SPRINGER"
"2021","Blockchain for Secure and Transparent Track-and-Trace in Manufacturing","0","Ernest Kurniawan, Doris Benda, Sumei Sun, Sin Guan Tan","SPRINGER"
"2021","Corporate Strategies for Blockchain-Based Solutions","0","Hans Verheggen","SPRINGER"
"2021","Using i*-Based Organizational Modeling to Support Blockchain-Oriented Software Engineering: Case Study in Supply Chain Management","0","Yasmine Ben Hamadi, Samedi Heng, Yves Wautelet","SPRINGER"
"2021","RETRACTED ARTICLE: Lightweight security scheme for data management in E-commerce platform using dynamic data management using blockchain model","5","Mengyao Zhang, Liwei Lin, Zhuyun Chen","SPRINGER"
"2021","Blockchain Technology and Database Management System","1","Mubashir Husain Rehmani","SPRINGER"
"2021","A survey on boosting IoT security and privacy through blockchain","41","Omar Alfandi, Salam Khanji, Liza Ahmad, Asad Khattak","SPRINGER"
"2021","Introduction to Blockchain Technology","0","Ahmed Imteaj, M. Hadi Amini, Panos M. Pardalos","SPRINGER"
"2021","Revisiting State-of-the-Art Applications of the Blockchain Technology: Analysis of Unresolved Issues and Potential Development","2","Izabella V. Lokshina, Cees J. M. Lanting","SPRINGER"
"2021","Correction to: Investigating the Applicability of Blockchain Technology and Ontology in Plastics Recycling by the Adoption of ZERO Plastic Model","3","R. Sandhiya, Seeram Ramakrishna","SPRINGER"
"2021","A scientometric review of blockchain research","17","Liang Zhou, Lin Zhang, Ying Zhao","SPRINGER"
"2021","A survey of blockchain with applications in maritime and shipping industry","15","Ling Li, Honggeng Zhou","SPRINGER"
"2021","Taxonomy of Edge Blockchain Network Designs","0","Nguyen Khoi Tran, Muhammad Ali Babar","SPRINGER"
"2021","Blockchain Simulation","0","Vikram Dhillon, David Metcalf, Max Hooper","SPRINGER"
"2021","Blockchain Interoperability from the Perspective of Interdependent Networks","0","Ahmed Imteaj, M. Hadi Amini, Panos M. Pardalos","SPRINGER"
"2021","Trust, Transparency, and Technology: Blockchain and Its Relevance in the Context of the 2030 Agenda","4","Ana Maria Gomez-Trujillo, Juan Velez-Ocampo","SPRINGER"
"2021","Blockchain Technology and Emerging Communications Applications","1","R. Teeluck, S. Durjan, V. Bassoo","SPRINGER"
"2021","Applicability of Blockchain Technology in Healthcare Industry: Applications, Challenges, and Solutions","6","Nikhil Sharma, Bharat Bhushan, Ila Kaushik","SPRINGER"
"2021","Blockchain Applications in the Industrial Internet of Things","2","Samad Najjar-Ghabel, Shamim Yousefi","SPRINGER"
"2021","Development Factors of Blockchain Technology Within Banking Sector","1","Monika Kołodziej","SPRINGER"
"2021","Blockchain Technology: Concept, Applications, Challenges, and Security Threats","1","Charu Gandhi, Nitin Shukla, Gagandeep Kaur","SPRINGER"
"2021","Correction to: Analyzing outliers activity from the time-series transaction pattern of bitcoin blockchain","0","Rubaiyat Islam, Yoshi Fujiwara","SPRINGER"
"2021","Economics and Law of Artificial Intelligence","8","Georgios I. Zekos","SPRINGER"
"2021","Theories of Change","11","Karen Wendt","SPRINGER"
"2021","The Impact of Artificial Intelligence on Governance, Economics and Finance, Volume I","15","Sezer Bozkuş Kahyaoğlu","SPRINGER"
"2021","Islamic FinTech","14","Mohd Ma’Sum Billah","SPRINGER"
"2021","Knowledge Science, Engineering and Management","40","Han Qiu, Cheng Zhang, Zongming Fei","SPRINGER"
"2021","Proceedings of the 4th International Conference on Economic Management and Green Development","8","Chunhui Yuan, Xiaolong Li, John Kent","SPRINGER"
"2021","Responsible AI and Analytics for an Ethical and Inclusive Digitized Society","66","Dr. Denis Dennehy, Anastasia Griva","SPRINGER"
"2021","A Novel Authentication System for Artwork Based on Blockchain","1","Seung Wook Jung","SPRINGER"
"2021","Decentralized Application Using Ethereum Blockchain on Performance Analysis Considering E-Voting System","0","B. Sriman, S. Ganesh Kumar","SPRINGER"
"2021","ChainSim: A P2P Blockchain Simulation Framework","0","Bozhi Wang, Shiping Chen, Lina Yao, Qin Wang","SPRINGER"
"2021","Secure and Decentralized Crowdfunding Mechanism Based on Blockchain Technology","3","Swati Kumari, Keyur Parmar","SPRINGER"
"2021","A Web Archiving Method for Preserving Content Integrity by Using Blockchain","0","Hyun Cheon Hwang, Ji Su Park, Byung Rae Lee","SPRINGER"
"2021","Blockchain drivers to achieve sustainable food security in the Indian context","18","Vinay Surendra Yadav, A. R. Singh, Rakesh D. Raut","SPRINGER"
"2021","An Overview of Blockchain-Based Smart Contract","4","Satpal Singh Kushwaha, Sandeep Joshi","SPRINGER"
"2021","A Transaction Model of Bill Service Based on Blockchain","0","Xinyan Wang, Jianxun Guo, Dong Li, Xin Chen","SPRINGER"
"2021","RETRACTED ARTICLE: Enhanced security in cloud applications using emerging blockchain security algorithm","7","M. Mayuranathan, M. Murugan, V. Dhanakoti","SPRINGER"
"2021","Healthify: A Blockchain-Based Distributed Application for Health care","3","Pratima Sharma, Rajni Jindal","SPRINGER"
"2021","Using Blockchain to Coordinate Federal Processes: The Case of Germany’s Federal Office for Migration and Refugees","0","Julia Amend, Christopher van Dun, Gilbert Fridgen","SPRINGER"
"2021","Selection of Renewable Energy Alternatives for Green Blockchain Investments: A Hybrid IT2-based Fuzzy Modelling","41","Juan Liu, Jun Lv, Hasan Dinçer","SPRINGER"
"2021","Digital Rights Management Platform Based on Blockchain Technology","0","Wenan Tan, Xiao Zhang, Xiaojuan Cai","SPRINGER"
"2021","Blockchain Application Based Smart Power Grid System","0","Yan-Dong Yang, Yong-Guang Li, Qing Yang","SPRINGER"
"2021","Proof of Stake for Blockchain Based Distributed Intrusion Detecting System","2","Ivan Burmaka, Nikolai Stoianov","SPRINGER"
"2021","Survey on Blockchain Applications for Healthcare: Reflections and Challenges","3","Swati Megha, Hamza Salem, Enes Ayan","SPRINGER"
"2021","Blockchain Technology and Fashion Industry-Opportunities and Challenges","1","Gautami Tripathi, Vandana Tripathi Nautiyal","SPRINGER"
"2021","Blockchain Technology Adoption in Healthcare Sector for Challenges Posed by COVID-19","0","Prasun Sarote, Om Ji Shukla","SPRINGER"
"2021","Blockchain: A Survey on Healthcare Perspective and Its Challenges","0","Deepa Kumari, B. S. A. S. Rajita","SPRINGER"
"2021","Blockchain ","12","Abraham Ayegba Alfa, John Kolo Alhassan","SPRINGER"
"2021","Multi-scene Classification of Blockchain Encrypted Traffic","0","Yu Wang, Chencheng Wang, Gang Xiong, Zhen Li","SPRINGER"
"2021","Secure Blockchain with the Internet of Things(S-BIoT) for Modern World Applications","0","Sangeeta Gupta, Y. Ramadevi, Ashok Kumar Yadav","SPRINGER"
"2021","Using Blockchain Technology to Implement Peer-to-Peer Network in Construction Industry","5","Meiling Shi, André Hoffmann, Anna Wagner","SPRINGER"
"2021","A Blockchain Framework to Increase the Security and Verifiability of Educational Certificates","0","Faraz Masood, Arman Rasool Faridi","SPRINGER"
"2021","Blockchain-Based Framework for Secure Transaction in Mobile Banking Platform","8","Joseph Bamidele Awotunde, Roseline Oluwaseun Ogundokun","SPRINGER"
"2021","Blockchain as an enabling technology in the COVID-19 pandemic: a systematic review","4","Pedro Henrique Ribeiro Botene, Anibal Tavares de Azevedo","SPRINGER"
"2021","The Desiderata of Blockchain and IoT in Medical and Pharmaceutical Enterprises","0","M. Manikandan, R. Subramanian, S. Nagajothi","SPRINGER"
"2021","The Prospects of the Blockchain Technology in the Information Society","3","N. P. Krylova, E. N. Levashov","SPRINGER"
"2021","Blockchain Medical Asset Model Supporting Analysis of Transfer Path Across Medical Institutions","0","Qingqing Yin, Lanju Kong, Xinping Min","SPRINGER"
"2021","Blockchain Security for Artificial Intelligence-Based Clinical Decision Support Tool","2","S. Vijayalakshmi, Savita, S. P. Gayathri","SPRINGER"
"2021","Reconciling Blockchain with the GDPR: Insights from the German Asylum Procedure","1","Alexander Rieger, Alexander Stohr, Annette Wenninger","SPRINGER"
"2021","Security risk and response analysis of typical application architecture of information and communication blockchain","6","Hongwei Zhao, Moli Zhang, Shi Wang, Entang Li","SPRINGER"
"2021","MIFS: A Peer-to-Peer Medical Images Storage and Sharing System Based on Consortium Blockchain","0","Hao Liu, Xia Xiao, Xinglong Zhang, Kenli Li","SPRINGER"
"2021","Supply Chain Management by Blockchain","0","Gianfranco Genta, Agostino Villa","SPRINGER"
"2021","A Blockchain-Based Digital Copyright Protection System with Security and Efficiency","1","Zibin Xu, Lijun Wei, Jing Wu, Chengnian Long","SPRINGER"
"2021","Employing Blockchain in Rice Supply Chain Management","3","M. Vinod Kumar","SPRINGER"
"2021","User authentication using Blockchain based smart contract in role-based access control","14","Priyanka Kamboj, Shivang Khare, Sujata Pal","SPRINGER"
"2021","A Data Privacy Approach Using Shamir’s Secret Scheme in Permissioned Blockchain","0","K. Sunil Kumar, Kurunandan Jain","SPRINGER"
"2021","Regulating Blockchain in the EU: Building a Global Competitive Advantage","0","Eva Kaili","SPRINGER"
"2021","What Is Hidden Behind the Term “Blockchain”?","0","Tatiana Gayvoronskaya, Christoph Meinel","SPRINGER"
"2021","The Roles of Small and Medium-Sized Enterprises in Blockchain Adoption","0","Sven Reimers, Thomas Twenhöven, Moritz Petersen, Wolfgang Kersten","SPRINGER"
"2021","Blockchain Software Selection for a Maritime Organization with MCDM Method","4","Melis Kaska, A. Cagri Tolga","SPRINGER"
"2021","Blockchain-Based Secure Digital Twin Framework for Smart Healthy City","9","Abir EL Azzaoui, Tae Woo Kim, Vincenzo Loia","SPRINGER"
"2021","Blockchain for IoT Access Control, Security and Privacy: A Review","21","Pradnya Patil, M. Sangeetha, Vidhyacharan Bhaskar","SPRINGER"
"2021","An Innovative Blockchain-Based Orchestrator for Osmotic Computing","4","Armando Ruggeri, Antonio Celesti, Maria Fazio, Massimo Villari","SPRINGER"
"2021","Accelerating Life Sciences Research with Blockchain","8","Wendy Marie Charles","SPRINGER"
"2021","Optimizing the Valid Transaction Using Reinforcement Learning-Based Blockchain Ecosystem in WSN","1","P. Anitha Rajakumari, Pritee Parwekar","SPRINGER"
"2021","Is Virtual Currency a Standard Financial Bubble? Blockchain Industry Research","0","Qian Wang","SPRINGER"
"2021","Is Blockchain Technology Applicable in Small and Medium-Sized Enterprises?","0","Zakariya Chabani, Salima Hamouche, Raed Said","SPRINGER"
"2021","Secured Crowdfunding Platform Using Blockchain","1","Megha Sahu, Ashish Gangaramani, Asha Bharambe","SPRINGER"
"2021","The Role of Blockchain in the Construction of Financial Information in Colleges and Universities","0","Yuetung Tang","SPRINGER"
"2021","A novel decentralized model for storing and sharing neuroimaging data using ethereum blockchain and the interplanetary file system","8","Sai Batchu, Owen S. Henry, Abraham A. Hakim","SPRINGER"
"2021","Implementation of real estate contract system using zero knowledge proof algorithm based blockchain","8","SoonHyeong Jeong, Byeongtae Ahn","SPRINGER"
"2021","Blockchain of Finite-Lifetime Blocks for Edge-IoT Applications","0","Shravan Garlapati","SPRINGER"
"2021","Optimization Strategy of Supply Chain Financial Platform Based on Blockchain","0","Yingying Li","SPRINGER"
"2021","A Detailed Review on Blockchain and Its Applications","8","Akash Raj Khettry, Karthik R. Patil, Abhilash C. Basavaraju","SPRINGER"
"2021","Design and implementation of blockchain-based digital advertising media promotion system","9","Yong Ding, Decun Luo, Hengkui Xiang, Wenyao Liu","SPRINGER"
"2021","Cloud Identity and Access Management Solution with Blockchain","1","Soumya Prakash Otta","SPRINGER"
